,OC_omid,issn
7515,06601807959,['1948-4755']
7579,06602258377,['2707-3092']
7580,06602266303,['0272-930X']
7619,06602405667,['1578-6072']
7621,06602405759,['2237-4329']
7640,06602594365,['2296-6013']
7677,06603066359,['1533-6271']
7696,06603858581,"['1019-8288', '2750-977X']"
7708,06604060817,['0009-8078']
7710,06604077064,['0021-843X']
7824,06701239155,['0568-3939']
7846,06701416821,['0021-8510']
7872,06701692508,['2470-8275']
7886,06701748508,['1535-0266']
7887,06701748573,['1535-0665']
7897,06701834934,['1689-7404']
7898,06701834970,['1689-8168']
7920,06702193411,['1080-661X']
8001,06702459396,"['2214-8590', '2214-594X']"
8037,06702798342,['2169-0235']
8081,06704037464,['0008-8080']
8082,06704065229,"['0096-3445', '0022-1015']"
8083,06704183832,"['1099-9809', '1077-341X']"
8095,067046641,"['0022-4529', '1527-1897']"
8096,067046641,"['1527-1897', '0022-4529']"
8097,067046710,"['2007-4336', '2448-8550']"
8098,067046710,"['2448-8550', '2007-4336']"
8147,0670778448,['0214-4212']
8149,0670783342,['1337-7493']
8182,06801060249,['2457-9017']
8187,06801065276,['1306-7885']
8200,06801136392,['0009-8353']
8323,06802167459,['1536-1802']
8334,06802247447,['2258-7942']
8335,06802247491,['2259-1001']
8341,06802280367,['1918-6576']
8351,06802328242,['0013-2586']
8431,06803174506,['0321-2068']
8443,06803495549,['0716-0925']
8457,06803959036,"['2080-5926', '2391-4491']"
8460,06804071790,"['0096-3445', '0022-1015']"
8462,06804194371,['1063-1801']
8514,0680773266,"['0952-3987', '1469-5790']"
8560,06901250262,['1898-5238']
8574,06901331612,['1097-3729']
8575,06901340193,['0035-9602']
8577,06901352501,['2222-4262']
8682,0690196501,['1304-1878']
8691,06901996466,"['0748-1756', '1947-6302']"
8696,06902028407,['1558-9234']
8769,0690283750,['0011-1589']
8802,06903692590,"['0022-1015', '0096-3445']"
8803,06903705532,"['0025-6307', '0748-1756']"
